"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1405","4/30/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1405_ANHU"
"1406","5/5/1998","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",4,"Spring","nest-related","Non-selasphorus spp.","1406_ANHU"
"1407","5/7/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1407_ANHU"
"1408","5/7/1998","Released","Lindsey","Yes","Selasphorus","unknown","Nestling",0,"Spring","caught by domestic animal","Selasphorus spp.","1408_ALHU"
"1409","5/7/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","1409_ANHU"
"1410","5/9/1998","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1410_ANHU"
"1411","5/11/1998","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","1411_ANHU"
"1412","5/11/1998","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","1412_ANHU"
"1413","5/13/1998","Died","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found inside","Non-selasphorus spp.","1413_ANHU"
"1414","5/13/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1414_ANHU"
"1415","5/15/1998","Released","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1415_ANHU"
"1416","5/16/1998","Released","Lindsey","No","ANHU","Female-like","adult-like",1,"Spring","nest-related","Non-selasphorus spp.","1416_ANHU"
"1417","5/18/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","1417_ANHU"
"1418","5/19/1998","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1418_ANHU"
"1419","5/19/1998","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","1419_ANHU"
